text,classificacao
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
Você se afastar de algumas pessoas não quer dizer que você é falsa ou o contrário muitas vezes você se afasta por… https://t.co/AbnI6s5pI9,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @bahlipe: ''ah mas se tu não mudar as pessoas vão se afastar de ti''

eu quero mais é q eles se fodam,comportamental
RT @textosraros: tudo bem não saber o que fazer.

tudo bem ir um dia por vez.

tudo bem se afastar de algumas pessoas e priorizar sua saúde…,comportamental
ta sumido em so porque vai abrir o show do luiz lins ta metido — essa conquista é um dos frutos da minha humildade… https://t.co/GbZH85frGr,comportamental
RT @Magkyunhyuk: AI PELO AMOR DE DEUS NÉ COMO PODE EXISTIR UMA CRIATURA DESSAS NO MUNDO!? 
É MTO INJUSTO COM O RESTO DA HUMANIDADE 
O HOMEM…,comportamental
RT @Magkyunhyuk: AI PELO AMOR DE DEUS NÉ COMO PODE EXISTIR UMA CRIATURA DESSAS NO MUNDO!? 
É MTO INJUSTO COM O RESTO DA HUMANIDADE 
O HOMEM…,comportamental
AI PELO AMOR DE DEUS NÉ COMO PODE EXISTIR UMA CRIATURA DESSAS NO MUNDO!? 
É MTO INJUSTO COM O RESTO DA HUMANIDADE… https://t.co/XtWs55oStF,comportamental
jv já chega aqui dizendo que comprou o abadá do largadinho pra a gente ir junto olha... esse carnatal não vai exis… https://t.co/EwMpWnyUui,comportamental
RT @viihtoriaRamos: @GabrielyDomin12 Amiga vc foi um presente de Deus  pra mim eu te amo muito Mano que chega dói meu coração obrigado po…,comportamental
@GabrielyDomin12 Amiga vc foi um presente de Deus  pra mim eu te amo muito Mano que chega dói meu coração obrigad… https://t.co/3YatD9UIhs,comportamental
Quando vc chega na vida adulta ao invés de se alistar no exército deveria existir uma forma de falar com alguém e… https://t.co/DssHWQsSc3,comportamental
@AAndrade777 @DiogodaLuzNOVO @marcelvanhattem @novonacamara Deve mesmo existir dinheiro de impostos para políticos? Já não chega ?,comportamental
@evansringx Mana o problema não é dar o suporte mas porque muitas vezes não existe um cuidado chega a ser mais u… https://t.co/uTO1KGbbal,comportamental
eu acho estranho o fato de cada mês ter um significado pq são coisas que têm que ser discutidas todo dia e não uma… https://t.co/GbBf61UfWS,comportamental
@instasantosfc_ Flamengo é uma bolha de realidade paralela
Lá na bolha deles Gabigol começou a existir para o fute… https://t.co/T50Htdouw0,comportamental
@Dj_And3rson pode existir esse teto só não acho que Sarri seja o nome pra elevar além desse teto. Chega com outro… https://t.co/woWe28pUbG,comportamental
RT @Captain56528333: eu acho q n deveria existir mês especial pros outros fingirem q se importam com a depressão dps de setembro todo mun…,comportamental
RT @Captain56528333: eu acho q n deveria existir mês especial pros outros fingirem q se importam com a depressão dps de setembro todo mun…,comportamental
@gilgil22 Além disso querem nego faz milagre em clube quando chega. Já não basta a falta de talento técnico chega… https://t.co/ogxFTZVe1p,comportamental
quem não passa por isso tá de boa. vive sua vida de boa sente que há motivos pra viver sabe? passa por dificuldad… https://t.co/L6MVACWzAb,comportamental
RT @MonaQueridinha: Antes de dar certo dá errado. Dá MUITO errado. Você se desespera acha que vai enlouquecer perde a noção na marra ap…,comportamental
depois dos áudios que eu ouvi vou dormir pq CHEGA de viver por hoje KKKKKKKKKKKKKK,comportamental
@crfduda4 foda kkkkkkk chega de viver na putaria agora,comportamental
E nessa loucura de dizer que não te quero
Vou negando as aparências
Disfarçando as evidências
Mas pra que viver fin… https://t.co/GgBbkbwZ4Y,comportamental
aí queria muito uma musiquinha de amor eh pedir muito yixing? chega de putaria ok? eu sei que eh difícil querer vi… https://t.co/rrha8qikJ7,comportamental
então viver sem apontar as falhas alheias enquanto as nossas estão a um palmo do nosso nariz. Chega de hipocrisia!,comportamental
RT @_Oliveirapammm: Antes de dar certo dá errado. Dá MUITO errado. Você se desespera acha que vai enlouquecer perde a noção na marra ap…,comportamental
@deltanmd Delta querido. Deixa eu te falar uma coisa... essas manobras para desviar o foco não colam mais! Chega d… https://t.co/ttlr4hquU9,comportamental
RT @2nninee: Antes de dar certo dá errado. Dá MUITO errado. Você se desespera acha que vai enlouquecer perde a noção na marra aprende a…,comportamental
construindoversos: “Quero viver cada segundo da minha vida intensamente chega de lamentar pelo que não deu certo.”… https://t.co/2o7cYy31wp,comportamental
RT @ribeiroasabrina: acho mt engraçado ne pq quase todo dia a gnt tem que falar: caralho como vcs são hipocritas qnd alguém se mata ou qnd…,comportamental
acho mt engraçado ne pq quase todo dia a gnt tem que falar: caralho como vcs são hipocritas qnd alguém se mata ou q… https://t.co/K78ZeGkT3I,comportamental
Eu fiz de tudo para que o tudo não acabasse assim

Espero que seja melhor espero estar correto
Nessa vida eu não… https://t.co/zEvWjajhBw,comportamental
Eu to há quase 2 semanas com tosse. N aguento mais eu só queria viver de boa sabes sem tossir chega a barriga dói,comportamental
RT @dsifontes: En chile estan asustados porque el peso se ha depreciado bruscamente en estos dias?
Permitanme reir...,comportamental
RT @vcanedo: Vídeos como esse ainda são necessários em dias como hoje - em que Firmino é depreciado como "jogador de esquema tático". 

Apr…,comportamental
RT @Carloslopezjone: Los Capitales Golondrinos están saliendo de México 👇🏻
Estaban en 118000 millones de dólares en abril. Actualmente ron…,comportamental
RT @Carloslopezjone: Los Capitales Golondrinos están saliendo de México 👇🏻
Estaban en 118000 millones de dólares en abril. Actualmente ron…,comportamental
@jrisco Ridículo. Como ha depreciado la investidura presidencial.,comportamental
RT @Carloslopezjone: Los Capitales Golondrinos están saliendo de México 👇🏻
Estaban en 118000 millones de dólares en abril. Actualmente ron…,comportamental
RT @Carloslopezjone: Los Capitales Golondrinos están saliendo de México 👇🏻
Estaban en 118000 millones de dólares en abril. Actualmente ron…,comportamental
RT @damiang49565418: @Funcionariohum1 @arya_ams @Macarena_Olona Para ser criado nos tienen que "criar" bien y con el sueldo congelado y de…,comportamental
@LubaTV Nunca se imaginaria q depreciado/suicídio seria associado a crianças e adolescentes. Seu video foi muito co… https://t.co/W21eiWLLQ0,comportamental
RT @dsifontes: En chile estan asustados porque el peso se ha depreciado bruscamente en estos dias?
Permitanme reir...,comportamental
RT @Carloslopezjone: Los Capitales Golondrinos están saliendo de México 👇🏻
Estaban en 118000 millones de dólares en abril. Actualmente ron…,comportamental
En chile estan asustados porque el peso se ha depreciado bruscamente en estos dias?
Permitanme reir...,comportamental
RT @damiang49565418: @Funcionariohum1 @arya_ams @Macarena_Olona Para ser criado nos tienen que "criar" bien y con el sueldo congelado y de…,comportamental
RT @damiang49565418: @Funcionariohum1 @arya_ams @Macarena_Olona Para ser criado nos tienen que "criar" bien y con el sueldo congelado y de…,comportamental
RT @damiang49565418: @Funcionariohum1 @arya_ams @Macarena_Olona Para ser criado nos tienen que "criar" bien y con el sueldo congelado y de…,comportamental
@CurtiAntony Muitos desdenhado do Breida. Acho que ele ultrapassa as mil jardas esse ano.,comportamental
@CarlaZambelli17 Ué quando era o Jean Willis sendo ameaçado pelos psicopatas que te elegeram não tinhas desdenhado dele?,comportamental
Aos que se incomodaram e talvez deram unf por eu ter desdenhado do Deus dos Shounens não me levem a sério esta con… https://t.co/imIvFkb3Nk,comportamental
@exame 2011...
Época em que o país era assaltado nos bastidores...
Os líderes da esquerda enriqueciam.
O povo era h… https://t.co/X8oKSAF2J5,comportamental
@derayul Era melhor nao ter desdenhado do meu sonho hahahahaha,comportamental
@joavictorof @sandracantii @delucca @NovoLauropro Quando o Windersson (não sei se é que sim q se escreve) estava e… https://t.co/lFIUCNrD2f,comportamental
Como sentiria um pai uma mãe soubessem eles que estando seu filho perdido no frio e na neve fora desdenhado e d… https://t.co/g9RAIwa2l5,comportamental
@ananiasfernanda Sou dessa opinião quando perceberem que estamos desdenhado eles terão que mudar seus conceitos!,comportamental
@PiqueMartins @gaybrasil Me deixa muito triste assistir uma pessoa como você ser desdenhado por essa geração juvenil,comportamental
@edubisotto Paulo Carneiro (ora desdenhado por você) sugeriu que os dois clubes assumissem o empreendimento e se to… https://t.co/DIq3Ai3gfK,comportamental
@o_colecionador Vc sabe o conteúdo da reunião pra dizer q foi simbólica? A reunião foi a portas fechadas. Vc ridicu… https://t.co/kKBWnT3slI,comportamental
@JoaquimMarioFe2 @lulesimon @xicograziano Acho que a única coisa que deve ter certeza é da sua ignorância.
Churchi… https://t.co/qFuk4G4o44,comportamental
RT @meangwirl: definição de fofo o casal dando as mãos só que acho que passei um tempo relativamente longo olhando  e talvez tenha aparenta…,comportamental
definição de fofo o casal dando as mãos só que acho que passei um tempo relativamente longo olhando  e talvez tenha… https://t.co/eGmHBqrxum,comportamental
mirela está desdenhado do prazer de ouvir minha voz maravilhosa e minhas imitações hilárias,comportamental
Virtual olá querido(a)s! "Não é que adoramos estar sozinhos; é que adoramos voar muito alto a companhia fica cad… https://t.co/on9HCtuzLV,comportamental
Desejar desaparecer constantemente https://t.co/TN7ErxqKEH,comportamental
Em algum momento
Eu costumava desejar desaparecer desse mundo
O mundo parecia tão escuro
E eu chorava toda noite
Eu… https://t.co/W2zAEbvuUZ,comportamental
desejo do dia: desaparecer,comportamental
Meu desejo de hoje é desaparecer!,comportamental
conseguiu fazer todo o peso que estava nas minhas costas desaparecer 

agora eu só desejo do fundo do meu coração que todo mundo se foda,comportamental
RT @damonurrea: meu desejo de hoje:
desaparecer,comportamental
RT @damonurrea: meu desejo de hoje:
desaparecer,comportamental
meu desejo de hoje:
desaparecer,comportamental
É um sentimento que não desejo a ninguém de que vai sumir desaparecer vai deixar pessoas tristes sozinhas eu não quero isso;,comportamental
@Palmeiras @Corinthians Isso são palavras da diretoria. Eu particularmente desejo do fundo do coração que você se f… https://t.co/tSg55g6Yvs,comportamental
RT @jasmbne: um desejo de ver a cor da estrada e desaparecer,comportamental
um desejo de ver a cor da estrada e desaparecer,comportamental
@marianalemos012 Oh shit esse desejo tem de desaparecer,comportamental
RT @duda_riva: se tem uma dor horrível é tu levar a sério uma pessoa e o que ela te diz e em um dia tudo aquilo desaparecer pq não era nada…,comportamental
RT @arieiroo: E tudo o que desejo é pegar na viatura
Guiar deixar alguns anos passar antes que cometa uma loucura
Porque a cada palavra é…,comportamental
RT @arieiroo: E tudo o que desejo é pegar na viatura
Guiar deixar alguns anos passar antes que cometa uma loucura
Porque a cada palavra é…,comportamental
RT @NtflxGenerator: Três anos depois de desaparecer uma comissária de bordo volta para casa mas com dores de cabeça. Agora ela só tem um…,comportamental
RT @WAustrique: A prof Bárbara deu uma lidta de 10 desejos no começo do ano passado pra minha sala eu estava mexendo nas coisas achei a mi…,comportamental
A prof Bárbara deu uma lidta de 10 desejos no começo do ano passado pra minha sala eu estava mexendo nas coisas ac… https://t.co/VGgbyC5F29,comportamental
@claudioedantas Batendo desespero na corte. Imagina por hipótese não por desejo que Celso Mello venha a falecer… https://t.co/7KQRuljDDJ,comportamental
@jerusabv Senhora
Quando sua mãe ou filha vai saber falecer eu ficarei para o enterro..
E espero que não haja mi… https://t.co/XD0rFqg8tO,comportamental
mas que grande desejo de falecer...,comportamental
@AnIsabelll Adoro a minha vida
Só desejo falecer,comportamental
A festa comigo pq ele foi enternado as dia 2 de agosto e no dia 26 ele veio a falecer mas mesmo assim a Sueli cu… https://t.co/o0FU905O8i,comportamental
@twiaus Meu eu do além - pq já tinha morrido há muito tempo. Acabou de falecer de novo!
Eu achando que o coments ia… https://t.co/dSzFmVqLD8,comportamental
@brunotrinchao @ELSanPabloFC @ECBahia @SantosFC @SCInternacional @Flamengo @Corinthians @Atletico @SaoPauloFC… https://t.co/8g70vxfRxZ,comportamental
Desmerecido com sucesso✅,comportamental
Ninguém merece ser desmerecido tem que ter o respeito pelo seu próximo,comportamental
alá sabia kkkkkkkkkkkkkkkkk mais um jogando culpa no garoto por um roteiro que ele apenas segue pqp meu deus tom ne… https://t.co/zkMqToChfF,comportamental
@MoreauLeopoldo Concuerdo. Pero aún espero tu definición sobre @VHMok y el desmerecido juicio de @alferdez a… https://t.co/QXp2ndJHYi,comportamental
@trabulsi_ biscoitosss?? o bichinho era tão desmerecido q mal aparecia,comportamental
Queria que aparecesse na televisão igual iria aparecer se fosse o contrário mas já que é homem nem ninguém liga por… https://t.co/rCRpPvI0Xf,comportamental
@izellix nossa SIM. Não eh como se alguém tivesse desmerecido os métodos pedagógicos ou eficiência deles enquanto professores,comportamental
@hightaetae tudo que educa e edifica é desmerecido😔,comportamental
@dudahsl_ e foda ne ser eswuecido desmerecido  essa gente n da valor pros cantores atuais😭😔😓,comportamental
@CAddiechi Hola Constanza en calle 9 de julio y chaco de tras de Terminal Nueva a hay otro muy desmerecido...!! Justo frente esta..!,comportamental
RT @_DeoclecioJr: O que teve por trás da treta de ontem vem de antes mesmo da estreia do programa e eu posso provar. O @orenatoalbani semp…,comportamental
O Caio Coppola sempre e desmerecido quando conversa sobre assunto de mulher pelos companheiros vocês pretendem cha… https://t.co/1SGSBpGMRT,comportamental
¿Aún quieres que crea que la gente es buena? Desmerecido el trabajo del infeliz de tu héroe,comportamental
RT @_DeoclecioJr: O que teve por trás da treta de ontem vem de antes mesmo da estreia do programa e eu posso provar. O @orenatoalbani semp…,comportamental
RT @_DeoclecioJr: O que teve por trás da treta de ontem vem de antes mesmo da estreia do programa e eu posso provar. O @orenatoalbani semp…,comportamental
RT @filevcn: ai velho odeio esse fandom fudido cansei de dizer que lumax é desvalorizado porque é um casal interracial; sendo o lucas negr…,comportamental
É difícil pensar que todo esforço e dedicação de um acadêmico/pesquisador seja total desvalorizado pelo governo. 
O… https://t.co/C8RM8zoZ98,comportamental
@emycomuser isso é mt triste pq minha amiga q da aula particular cobra 50 reias a hr/aula e eu achando q recebia a… https://t.co/OMQSpve4ja,comportamental
@laflia_ok @AngeldebritoOk @HernanPiquin Realmente piquin es un artista que lleva el arte en la sangre no se debe… https://t.co/wnQP3eL5tE,comportamental
@ankaarol Nossa desvalorizado total parça,comportamental
PERA 
Começamos bem já tem legenda em Árabe e Persa mas não tem em português percebe-se que é um grupo desvalori… https://t.co/404e0d4cSG,comportamental
@JuliaCl15880823 caralho que cu desvalorizado em moreh,comportamental
@The_Georgecm tipo não é so absurdo é muito triste aqui é tudo muito desvalorizado como que um cara estuda mais d… https://t.co/7EiNUy5zwz,comportamental
RT @AniiArias5: Festejar el cumpleaños haciendo previa e ir a angelo esta desvalorizado ahre adivinen quien va pasar su cumple comiendo mil…,comportamental
a profissão dos meus sonhos mas o bagulho desvalorizado namoral https://t.co/mYxYlWdhMC,comportamental
@rehventura @mellwintter É um jornalismo meio desValorizado o do Brasil....,comportamental
É isso.
É totalmente desanimador ter escolhido um curso com áreas tão diversas e conseguir ser desvalorizado em tod… https://t.co/6CF0oRfF8T,comportamental
@LOUCO_N_100 @Teleco1910 É sempre assim o jogador do Corinthians é bem desvalorizado não sei se pelos agentes env… https://t.co/272A7BpB1s,comportamental
@Cjmari @TutzyFF Ya somos dos! Se defienden derechos no privilegios. Toda esta situación nos ha desvalorizado como gremio lamentablemente.,comportamental
@luhh_nasciment muitíssimo desvalorizado mas muito bom s2 o problema é o cálice de fogo tem o edward então sou suspeita,comportamental
RT @psitarjapreta: Uma pessoa com ansiedade vai:
Se isolar;
Se sentir sempre culpado; 
Ter ataque de raiva frustração;
Desmarcar compromis…,comportamental
Eu fico chocada em cm as pessoas encara depressao cm algo fácil de se resolver “SE vc sair melhora” “SÓ n se deixar… https://t.co/bIurQcwfmo,comportamental
sem condições nenhuma de sair de casa...nariz inchado e rosto dolorido por causa da sinusite dificuldade pra respirar e dor no peito😭,comportamental
RT @feministansiosa: Uma pessoa com ansiedade vai: 
Se isolar; 
Se sentir sempre culpado; 
Ter ataques de raiva/frustração;
Desmarcar compr…,comportamental
Meu amigo qual a dificuldade de passar um fedosorante ou lavar bem o suvaco antes de sair de casa ? Galera do BRT agradece,comportamental
36 coisas que a pessoa com depressão faz mas muitos não notam:

1. Fica cansado;
2. Fica sem vontade de sair de ca… https://t.co/6qcUI0GCka,comportamental
Tudo nessa casa é uma dificuldade meu Deus
Eu acho que o dia que eu finalmente sair daqui eu vou passar 1 mês me pe… https://t.co/5iDjWw4HDS,comportamental
RT @andreh9205: Tenho 2 familiares com depressão. O terceiro graças a Deus não se confirmou. Só quem conhece de perto sabe a dificuldade e…,comportamental
Tivemos uma pequena dificuldade em sair de casa hoje por motivos de ... tinham três sapos na porta,comportamental
Tenho 2 familiares com depressão. O terceiro graças a Deus não se confirmou. Só quem conhece de perto sabe a dificu… https://t.co/dQGDoAG1hr,comportamental
Que dificuldade para levantar da cama e sair de casa nessa segunda chuvosa pqp.,comportamental
eu amo meus amigos sério
as vezes tenho dificuldade pra sair de casa e dai eles sempre vem aqui nem que seja só p… https://t.co/xevMGbJe8n,comportamental
As amizades tem diminuído mas tô muito orgulhosa de quem tá cmg agora.,comportamental
RT @rebeccaellerr: Independente se você acredita ou não que Jesus existiu ele deve ser a maior inspiração pra qualquer pessoa por ter sid…,comportamental
agora vou dormir pq o dia apesar de ter diminuído um pouco ainda vai ser longo,comportamental
RT @TavinFJV3: Sou muito trouxa mano faço de tudo pela pessoa e sou smp diminuído smp colocado pra trás!,comportamental
@camzbgumy Mas ninguém nunca avaliou todas pra saber quais as melhores. Ficar comparando esse tipo de coisa é incri… https://t.co/VeB7nLS44A,comportamental
E isso deixa em condição da gente estar sempre aprendendo. Até com insultos a gente aprende mas as pessoas prefere… https://t.co/hA6p8DWbhI,comportamental
Falar de sexo sempre foi tabu. Embora hoje os preconceitos acerca do tema tenham diminuído ainda existe uma parcel… https://t.co/qISHUIH9me,comportamental
@Kikecompte @_darioeze @BAUTI_PLATE @DiarioOle Diminuido jajajajajajaja,comportamental
@FrancoGHerrera1 @_darioeze @BAUTI_PLATE @DiarioOle Acá el único diminuido sos vos...te viste al espejo como se nota que sos bobostero,comportamental
RT @TavinFJV3: Sou muito trouxa mano faço de tudo pela pessoa e sou smp diminuído smp colocado pra trás!,comportamental
@EdmundoZen Amigo na verdade não é um poder sem limites aliás o poder do relator (desembargador que recebe o rec… https://t.co/5rw9ZKTmVK,comportamental
meu deus stephen king pq vc é tão caro assim??? só espero que o preço de it tenha diminuído um tiquinho como um livro desse custa 9900??,comportamental
desde que parei de tomar café usar muito o twitter minhas crises tem diminuido e eu recomendo a todes voces beijos… https://t.co/DRxWSsvxOC,comportamental
@SidViraLata mas imagina e se esse casal tava cansado de esperar a fila e pensou "bora cochilar quando a gente aco… https://t.co/W8og3iEzwr,comportamental
@henriquemayer @thiagosfb @izzynobre Experiências como a APAC no Brasil tem diminuído em até 90% a reincidência p… https://t.co/14nB3QH2LW,comportamental
Mas pessoas q se importam estão mais difíceis e as vezes por coisas diversas acaba tendo q distanciar mesmo q sej… https://t.co/uWbhemYKo5,comportamental
Aiai acho extrema a capacidade que eu tenho de distanciar as pessoas de mim,comportamental
eu realmente tenho que me distanciar de pessoas que só estão do meu lado por interesse,comportamental
RT @izaa_Matos: Eu pensava que jamais iria me distânciar de certas pessoas pensei errado hoje falo com ninguém ksksksk,comportamental
Sei o quanto vou ser julgado por isso o tanto de pessoas que iram se distanciar de mim se eu fizer isso mas eu re… https://t.co/cG5tVumB8x,comportamental
E ainda bem que eu não soltei a mão de quem realmente se preocupa comigo apesar de viver em pé de guerra após me… https://t.co/oOuNwGfEjr,comportamental
To precisando me distanciar da superficialidade do mundo da rotina das pessoas e me conectar com o que há de real a nossa volta. 😌💛,comportamental
o ciclo infinito de por algum motivo x me isolar e começar a me distanciar dos meus amigos > ficar me sentindo sozi… https://t.co/qxoE86GF3O,comportamental
RT @paolaboer: se distanciar das pessoas q vc ama por causa de terceiros é uma porra,comportamental
se distanciar das pessoas q vc ama por causa de terceiros é uma porra,comportamental
Enfim eu preciso me distanciar de tudo isso dnv eu vou sair das redes e me distanciar das pessoas. Desculpa mas eu to vendo que preciso.,comportamental
Distanciar de muitas pessoas como já tinha dito pra Bianca um passo pra trás das tóxicas,comportamental
RT @Icaszinha: As vezes... 

 Nem queria Tar aqui...  

Sofrendo... 

Farta de pessoas...

Farta de atitudes...  

Poder distanciar me...…,comportamental
eu tenho dom de magoar as pessoas e distanciar elas de mim. isso só me prova que eu realmente não faria falta o auge.,comportamental
RT @lorrani_stefany: As vezes a gente precisa se distanciar de algumas pessoas que a gente ama pra elas passarem a dar mais valor e não fic…,comportamental
to correndo de brigas então prefiro evitar sair,comportamental
RT @eispoeta: pessoas ignorantes vem falar com total autoridade que ansiedade e depressão é somente fruto da nossa cabeça que precisamos s…,comportamental
pessoas ignorantes vem falar com total autoridade que ansiedade e depressão é somente fruto da nossa cabeça que pr… https://t.co/hqxgdiXDm6,comportamental
é tão ruim ser julgada pelo oq você é credo pensar antes de sair falando qualquer merda pra qualquer um é bom pra… https://t.co/5G3yHubWuo,comportamental
Pra evitar estresse eu prefiro sair de cena😏🤨,comportamental
@RicardoRocha94 nobre Ricardo... essa situação é igual zoação de escola enquanto você ligar postar resposta pedi… https://t.co/YxkI7pcd0c,comportamental
@jairbolsonaro Querido Presidente. Soube agora mesmo que devido ao aumento do óleo dieselcaminhoneiros pretendem p… https://t.co/ibOBjHqd2W,comportamental
Amor próprio não é só se olhar no espelho e se achar bonito(a) é também não se submeter a certas situações que voc… https://t.co/n9gamhD1z2,comportamental
1. as vezes eu nao consigo entender porque eu me sinto ASSIM
2. me perguntar o tempo todo se estou bem pode me faze… https://t.co/ZhvQDdtyWn,comportamental
to muito cansada e uma pilha de nervo vou entrar pro quarto e n sair mais pra evitar,comportamental
RT @misadoraribeiro: Sair de calça num calor desse p evitar de passar raiva com os BONITÕES que se acham no direito de mexer com mulher na…,comportamental
@hugotiago_ Menos aumentos para FP. Evitar programas (passes sociais pe) pagos pelo estado - teria que sair do or… https://t.co/lQDBiDBLQm,comportamental
aí falei: "o senhor q pediu para q eu ficasse com o armário pra evitar trabalho e dinheiro (ele é de madeira pura… https://t.co/ucF6GPzneS,comportamental
@cud_boi É pra evitar de passar tempos e tempos caçando roupa depois que eu acho um look que eu gosto eu vou pro b… https://t.co/yvajflx4cn,comportamental
@JornalOGlobo E o total? Que horas mais acontece? Vou evitar de sair de casa nesse horário. 🐌🦠,comportamental
RT @MahmoudOficial_: @jdoriajr Acho falar dos preservativos importantíssimo na oitava série para evitar que nasçam mais pessoas como você!!…,comportamental
RT @MahmoudOficial_: @jdoriajr Acho falar dos preservativos importantíssimo na oitava série para evitar que nasçam mais pessoas como você!!…,comportamental
bom é isto tentei evitar mas acabei seguindo 4k de pessoas no Instagram.,comportamental
RT @MahmoudOficial_: @jdoriajr Acho falar dos preservativos importantíssimo na oitava série para evitar que nasçam mais pessoas como você!!…,comportamental
🌺No início será difícil e você vai se sentir muito mal porque tanto você quanto a pessoa vão sofrer mas é necessár… https://t.co/bDFs1n2Ybt,comportamental
RT @MahmoudOficial_: @jdoriajr Acho falar dos preservativos importantíssimo na oitava série para evitar que nasçam mais pessoas como você!!…,comportamental
RT @MahmoudOficial_: @jdoriajr Acho falar dos preservativos importantíssimo na oitava série para evitar que nasçam mais pessoas como você!!…,comportamental
